,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType
0,103,21001A041,VEEWEYDE-SUD,103,79,1,female,parent,77,3,single,21001A041,Anderlecht,6,Worker
1,3805,21001A83-,PETERBOS,3805,101,1,female,parent,1964,3,single,21001A83-,Anderlecht,6,Worker
2,13261,21001A32-,AURORE,13261,68,1,female,parent,7364,3,single,21001A32-,Anderlecht,6,Worker
3,17928,21001A41-,ROMAIN ROLLAND,17928,85,1,female,parent,9802,3,single,21001A41-,Anderlecht,6,Worker
4,24614,21001A552,TREFLE,24614,65,1,female,parent,13655,1,couple_with_child,21001A552,Anderlecht,6,Worker
5,42480,21001A30-,BIZET,42480,76,1,female,parent,23456,3,single,21001A30-,Anderlecht,6,Worker
6,45542,21001A80-,SILLON,45542,83,1,female,parent,25055,3,single,21001A80-,Anderlecht,6,Worker
7,56937,21001B20-,CONSEIL-NORD,56937,94,1,female,parent,31211,2,couple_no_child,21001B20-,Anderlecht,6,Worker
8,67154,21001A941,CROCUS,67154,98,1,female,parent,36478,2,couple_no_child,21001A941,Anderlecht,6,Worker
9,74400,21001B25-,REVISION-NORD,74400,78,1,female,parent,40353,3,single,21001B25-,Anderlecht,6,Worker
10,79280,21001A72-,OSSEGEM,79280,96,1,female,parent,42853,2,couple_no_child,21001A72-,Anderlecht,6,Worker
11,82829,21001A011,KLEINMOLEN,82829,83,1,female,parent,44676,3,single,21001A011,Anderlecht,6,Worker
12,88535,21001B21-,BROGNIEZ-NORD,88535,95,1,female,parent,47688,3,single,21001B21-,Anderlecht,6,Worker
13,96556,21001A74-,SCHEUT-OUEST,96556,84,1,female,parent,51708,2,couple_no_child,21001A74-,Anderlecht,6,Worker
14,99316,21001A92-,JAKOB SMITS,99316,88,1,female,parent,53054,2,couple_no_child,21001A92-,Anderlecht,6,Worker
15,103057,21001A00-,RESISTANCE,103057,97,1,female,parent,54801,3,single,21001A00-,Anderlecht,6,Worker
16,106227,21001A95-,BUFFON,106227,72,1,female,parent,56497,2,couple_no_child,21001A95-,Anderlecht,6,Worker
17,109430,21001B10-,ROSEE-EST,109430,94,1,female,parent,57920,2,couple_no_child,21001B10-,Anderlecht,6,Worker
18,116777,21001A120,MINIMES,116777,83,1,female,parent,61788,3,single,21001A120,Anderlecht,6,Worker
19,123050,21001A112,BIESTEBROEK,123050,72,1,female,parent,65008,3,single,21001A112,Anderlecht,6,Worker
20,127461,21002A53-,PECHERIES,127461,67,1,female,parent,67295,3,single,21002A53-,Auderghem,6,Worker
21,128849,21002A511,INVALIDES (BOULEVARD DES),128849,91,1,female,parent,68138,2,couple_no_child,21002A511,Auderghem,6,Worker
22,131623,21002A23-,TH. BALIS (PLACE),131623,96,1,female,parent,69540,3,single,21002A23-,Auderghem,6,Worker
23,134211,21002A24-,AVENUE DE BROUCKERE,134211,78,1,female,parent,70905,3,single,21002A24-,Auderghem,6,Worker
24,135632,21002A25-,WATERMAEL (CHAUSSEE DE),135632,83,1,female,parent,71638,2,couple_no_child,21002A25-,Auderghem,6,Worker
25,138053,21002A441,CHANT D'OISEAUX,138053,72,1,female,parent,72908,3,single,21002A441,Auderghem,6,Worker
26,139290,21002A130,PARC DES PRINCES,139290,91,1,female,parent,73553,2,couple_no_child,21002A130,Auderghem,6,Worker
27,142514,21002A30-,TRIOMPHE (BOULEVARD DU),142514,66,1,female,parent,75288,4,single_with_child,21002A30-,Auderghem,6,Worker
28,143746,21002A21-,LEBON,143746,103,1,female,parent,75968,3,single,21002A21-,Auderghem,6,Worker
29,150604,21002A030,LAMMERENDRIES,150604,90,1,female,parent,79883,2,couple_no_child,21002A030,Auderghem,6,Worker
30,154105,21002A10-,TRANSVAAL,154105,66,1,female,parent,81797,1,couple_with_child,21002A10-,Auderghem,6,Worker
