,Unnamed: 0,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseHorldTypeName,long,lat
0,0,21001A041,VEEWEYDE-SUD,0,104,1,female,parent,0,2,couple_no_child,4.301314966817025,50.83016044162608
1,1,21001A041,VEEWEYDE-SUD,1,94,0,male,parent,0,2,couple_no_child,4.301314966817025,50.83016044162608
2,2,21001A041,VEEWEYDE-SUD,2,104,1,female,parent,1,3,single,4.301314966817025,50.83016044162608
3,3,21001A041,VEEWEYDE-SUD,3,104,1,female,parent,2,3,single,4.301314966817025,50.83016044162608
4,4,21001A041,VEEWEYDE-SUD,4,103,1,female,parent,3,2,couple_no_child,4.301314966817025,50.83016044162608
5,5,21001A041,VEEWEYDE-SUD,5,93,0,male,parent,3,2,couple_no_child,4.301314966817025,50.83016044162608
6,6,21001A041,VEEWEYDE-SUD,6,103,1,female,parent,4,3,single,4.301314966817025,50.83016044162608
7,7,21001A041,VEEWEYDE-SUD,7,103,1,female,parent,5,3,single,4.301314966817025,50.83016044162608
8,8,21001A041,VEEWEYDE-SUD,8,102,1,female,parent,6,2,couple_no_child,4.301314966817025,50.83016044162608
9,9,21001A041,VEEWEYDE-SUD,9,92,0,male,parent,6,2,couple_no_child,4.301314966817025,50.83016044162608
10,10,21001A041,VEEWEYDE-SUD,10,102,1,female,parent,7,3,single,4.301314966817025,50.83016044162608
11,11,21001A041,VEEWEYDE-SUD,11,102,1,female,parent,8,3,single,4.301314966817025,50.83016044162608
12,12,21001A041,VEEWEYDE-SUD,12,101,1,female,parent,9,2,couple_no_child,4.301314966817025,50.83016044162608
13,13,21001A041,VEEWEYDE-SUD,13,91,0,male,parent,9,2,couple_no_child,4.301314966817025,50.83016044162608
14,14,21001A041,VEEWEYDE-SUD,14,101,1,female,parent,10,3,single,4.301314966817025,50.83016044162608
15,15,21001A041,VEEWEYDE-SUD,15,101,1,female,parent,11,3,single,4.301314966817025,50.83016044162608
16,16,21001A041,VEEWEYDE-SUD,16,100,1,female,parent,12,2,couple_no_child,4.301314966817025,50.83016044162608
