,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Commune,WorkerID,WorkerType,Quartier,WorkSectorStatID,WorkSectorStatName,WorkCommuneName
0,21001B20-,CONSEIL-NORD,60212,3,1,female,child,32365,1,couple_with_child,Anderlecht,1,Maternelles,Cureghem Bara,21001A911,SCHEUT-EST,Anderlecht
1,21001A72-,OSSEGEM,80644,3,1,female,child,43443,1,couple_with_child,Anderlecht,1,Maternelles,Machtens,21001A84-,POESIE,Anderlecht
2,21001A120,MINIMES,117439,5,0,male,child,62073,1,couple_with_child,Anderlecht,1,Maternelles,Anderlecht - Centre - Wayez,21001B20-,CONSEIL-NORD,Anderlecht
3,21001A95-,BUFFON,107090,4,0,male,child,56827,4,single_with_child,Anderlecht,1,Maternelles,Buffon,21001A441,DOCTEUR ROUX,Anderlecht
4,21001A72-,OSSEGEM,81567,6,1,female,child,43772,1,couple_with_child,Anderlecht,1,Maternelles,Machtens,21001A911,SCHEUT-EST,Anderlecht
5,21001A051,LINDE-EST,66507,5,1,female,child,35991,4,single_with_child,Anderlecht,1,Maternelles,Anderlecht - Centre - Wayez,21001A552,TREFLE,Anderlecht
6,21001B25-,REVISION-NORD,75528,4,1,female,child,40759,4,single_with_child,Anderlecht,1,Maternelles,Cureghem Vétérinaire,21001B20-,CONSEIL-NORD,Anderlecht
7,21001A41-,ROMAIN ROLLAND,19332,3,1,female,child,10472,1,couple_with_child,Anderlecht,1,Maternelles,Scherdemael,21001A72-,OSSEGEM,Anderlecht
8,21001A84-,POESIE,28343,3,1,female,parent,15022,1,couple_with_child,Anderlecht,1,Maternelles,Moortebeek - Peterbos,21001B21-,BROGNIEZ-NORD,Anderlecht
9,21001A30-,BIZET,44200,5,0,male,child,23966,1,couple_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21001B21-,BROGNIEZ-NORD,Anderlecht
10,21001A30-,BIZET,43834,4,0,male,child,23850,1,couple_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21001A32-,AURORE,Anderlecht
11,21001A00-,RESISTANCE,104962,3,0,male,child,55547,4,single_with_child,Anderlecht,1,Maternelles,Anderlecht - Centre - Wayez,21001B20-,CONSEIL-NORD,Anderlecht
12,21001C512,CHANTS D'OISEAUX,35357,4,0,male,child,19290,1,couple_with_child,Anderlecht,1,Maternelles,Vogelenzang - Erasme,21001A30-,BIZET,Anderlecht
13,21001A92-,JAKOB SMITS,101421,4,1,female,child,53838,1,couple_with_child,Anderlecht,1,Maternelles,Scheut,21001B241,REVISION-SUD,Anderlecht
14,21001B21-,BROGNIEZ-NORD,90864,5,0,male,child,48510,4,single_with_child,Anderlecht,1,Maternelles,Cureghem Bara,21001A80-,SILLON,Anderlecht
15,21001A712,SCHEUT - DE SMET,87646,5,0,male,child,47116,1,couple_with_child,Anderlecht,1,Maternelles,Scheut,21001A00-,RESISTANCE,Anderlecht
16,21001A92-,JAKOB SMITS,101664,5,1,female,child,53919,1,couple_with_child,Anderlecht,1,Maternelles,Scheut,21001A83-,PETERBOS,Anderlecht
17,21001B25-,REVISION-NORD,77178,3,1,female,child,41300,4,single_with_child,Anderlecht,1,Maternelles,Cureghem Vétérinaire,21001A120,MINIMES,Anderlecht
18,21001A74-,SCHEUT-OUEST,98297,3,0,male,child,52235,1,couple_with_child,Anderlecht,1,Maternelles,Scheut,21001A95-,BUFFON,Anderlecht
19,21001A011,KLEINMOLEN,83602,4,1,female,child,44970,1,couple_with_child,Anderlecht,1,Maternelles,Anderlecht - Centre - Wayez,21001A92-,JAKOB SMITS,Anderlecht
20,21001B321,ALBERT I- QUARTIER,55481,3,1,female,child,30405,1,couple_with_child,Anderlecht,1,Maternelles,Cureghem Vétérinaire,21001A81-,BROECK,Anderlecht
21,21001A72-,OSSEGEM,80506,3,1,female,child,43389,1,couple_with_child,Anderlecht,1,Maternelles,Machtens,21001A451,VENIZELOS,Anderlecht
22,21001A95-,BUFFON,108023,3,1,female,child,57140,1,couple_with_child,Anderlecht,1,Maternelles,Buffon,21001B21-,BROGNIEZ-NORD,Anderlecht
