,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Commune,WorkerID,WorkerType,Quartier,WorkSectorStatID,WorkSectorStatName,WorkCommuneName
0,21001A041,VEEWEYDE-SUD,1597,4,0,male,child,672,4,single_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
1,21001A32-,AURORE,16151,3,0,male,child,8602,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
2,21001A43-,VAN BEETHOVEN,11110,3,1,female,child,6051,4,single_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
3,21001A142,VEEWEYDE-NORD,64877,4,1,female,child,35217,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
4,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,50853,3,1,female,child,28018,4,single_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
5,21001A32-,AURORE,16921,6,1,female,child,9192,4,single_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
6,21001A142,VEEWEYDE-NORD,65155,5,1,female,child,35330,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
7,21001A031,RAUTER-SUD,52836,4,0,male,child,28883,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
8,21001A32-,AURORE,15813,5,0,male,child,8495,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
9,21001A112,BIESTEBROEK,124267,4,1,female,child,65481,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
10,21001A32-,AURORE,16073,3,0,male,child,8579,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
11,21001A43-,VAN BEETHOVEN,11438,4,1,female,child,6173,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
12,21001A132,RAUTER-NORD,72834,4,1,female,child,39389,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
13,21001A041,VEEWEYDE-SUD,1903,3,0,male,child,772,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
14,21001A041,VEEWEYDE-SUD,1658,3,0,male,child,693,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
15,21001A43-,VAN BEETHOVEN,11240,5,1,female,child,6101,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
16,21001A041,VEEWEYDE-SUD,1228,4,0,male,child,531,1,couple_with_child,Anderlecht,1,Maternelles,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
17,21001A30-,BIZET,44252,3,1,female,child,23982,1,couple_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
18,21001A350,CERIA - ZONE D'HABITAT,31412,3,0,male,child,17016,1,couple_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21004F970,MARLY-NORD,Bruxelles
19,21001A350,CERIA - ZONE D'HABITAT,31527,5,1,female,child,17051,1,couple_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21004F970,MARLY-NORD,Bruxelles
20,21001A441,DOCTEUR ROUX,33443,4,1,female,child,18075,4,single_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
21,21001A552,TREFLE,26286,4,0,male,child,14288,1,couple_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
22,21001A451,VENIZELOS,41575,4,1,female,child,22837,1,couple_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
23,21001A552,TREFLE,26241,4,1,female,child,14271,1,couple_with_child,Anderlecht,1,Maternelles,Bizet - Roue- Ceria,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
