,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Commune,Quartier,WorkSectorStatID,WorkSectorStatName,WorkCommuneName
0,21001A95-,BUFFON,106653,7,0,male,child,56675,4,single_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
1,21001A95-,BUFFON,106639,11,0,male,child,56666,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
2,21001A95-,BUFFON,107099,10,1,female,child,56829,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
3,21001A941,CROCUS,68873,9,0,male,child,37164,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
4,21001A95-,BUFFON,107737,8,1,female,child,57042,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
5,21001A941,CROCUS,68631,9,1,female,child,37080,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
6,21001A95-,BUFFON,107333,7,1,female,child,56907,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
7,21001A95-,BUFFON,107733,11,0,male,child,57041,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
8,21001A95-,BUFFON,108145,7,0,male,child,57180,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
9,21001A941,CROCUS,68953,6,0,male,child,37188,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
10,21001A95-,BUFFON,107736,11,1,female,child,57042,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
11,21001A941,CROCUS,68947,6,1,female,child,37187,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
12,21001A95-,BUFFON,108201,8,0,male,child,57199,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
13,21001A95-,BUFFON,108288,7,0,male,child,57224,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
14,21001A941,CROCUS,68765,9,0,male,child,37129,1,couple_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
15,21001A95-,BUFFON,109382,10,0,male,parent,56752,4,single_with_child,2,Primaires,Anderlecht,Buffon,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
16,21001B321,ALBERT I- QUARTIER,56836,8,0,male,parent,30301,4,single_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
17,21001B321,ALBERT I- QUARTIER,55554,11,0,male,child,30431,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
18,21001B321,ALBERT I- QUARTIER,56009,6,0,male,child,30584,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
19,21001B25-,REVISION-NORD,75873,11,1,female,child,40876,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
20,21001B25-,REVISION-NORD,75538,6,0,male,child,40762,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
21,21001B241,REVISION-SUD,115075,8,1,female,child,60816,4,single_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
22,21001B25-,REVISION-NORD,78122,6,1,female,parent,41225,4,single_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
23,21001B241,REVISION-SUD,115421,11,0,male,parent,60140,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
24,21001B25-,REVISION-NORD,75762,9,0,male,child,40837,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
25,21001B321,ALBERT I- QUARTIER,56052,9,0,male,child,30599,4,single_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
26,21001B25-,REVISION-NORD,78120,6,1,female,parent,41006,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
27,21001B321,ALBERT I- QUARTIER,56706,8,1,female,parent,30378,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
28,21001B25-,REVISION-NORD,76530,11,1,female,child,41096,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
29,21001B321,ALBERT I- QUARTIER,55875,6,0,male,child,30539,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
30,21001B25-,REVISION-NORD,78097,9,1,female,parent,40852,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
31,21001B321,ALBERT I- QUARTIER,56710,7,1,female,parent,30469,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
32,21001B25-,REVISION-NORD,75422,8,1,female,child,40721,1,couple_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
33,21001B332,GOUJONS,113171,11,1,female,child,59865,4,single_with_child,2,Primaires,Anderlecht,Cureghem Vétérinaire,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
