,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType,WorkSectorStat,WorkSectorStatName
0,21001B20-,CONSEIL-NORD,61989,81,1,female,parent,33370,6,collectif,21001B20-,Anderlecht,8,Nursing Home,21001B20-,CONSEIL-NORD
1,21001A00-,RESISTANCE,105646,84,1,female,parent,56013,6,collectif,21001A00-,Anderlecht,8,Nursing Home,21001A00-,RESISTANCE
2,21001B25-,REVISION-NORD,78138,84,0,male,parent,42057,6,collectif,21001B25-,Anderlecht,8,Nursing Home,21001B25-,REVISION-NORD
3,21001A451,VENIZELOS,42291,79,0,male,parent,23296,6,collectif,21001A451,Anderlecht,8,Nursing Home,21001A451,VENIZELOS
4,21001A00-,RESISTANCE,105800,68,0,male,parent,56167,6,collectif,21001A00-,Anderlecht,8,Nursing Home,21001A00-,RESISTANCE
5,21001B332,GOUJONS,113243,77,1,female,parent,59884,6,collectif,21001B332,Anderlecht,8,Nursing Home,21001B332,GOUJONS
6,21001A80-,SILLON,48404,67,0,male,parent,26620,6,collectif,21001A80-,Anderlecht,8,Nursing Home,21001A80-,SILLON
7,21001B20-,CONSEIL-NORD,61976,84,1,female,parent,33357,6,collectif,21001B20-,Anderlecht,8,Nursing Home,21001B20-,CONSEIL-NORD
8,21001B31-,ALBERT I- IMMEUBLES,74130,69,1,female,parent,40110,6,collectif,21001B31-,Anderlecht,8,Nursing Home,21001B31-,ALBERT I- IMMEUBLES
9,21001A472,STADE COMMUNAL - INDUSTRIE,3648,91,1,female,parent,1815,6,collectif,21001A472,Anderlecht,8,Nursing Home,21001A472,STADE COMMUNAL - INDUSTRIE
10,21001A503,VIVES,8944,80,1,female,parent,4920,6,collectif,21001A503,Anderlecht,8,Nursing Home,21001A503,VIVES
11,21001B332,GOUJONS,113240,78,1,female,parent,59881,6,collectif,21001B332,Anderlecht,8,Nursing Home,21001B332,GOUJONS
12,21001A41-,ROMAIN ROLLAND,20173,72,1,female,parent,10983,6,collectif,21001A41-,Anderlecht,8,Nursing Home,21001A41-,ROMAIN ROLLAND
13,21001A34-,ROUE - CITE JARDIN,30430,71,1,female,parent,16440,6,collectif,21001A34-,Anderlecht,8,Nursing Home,21001A34-,ROUE - CITE JARDIN
14,21001B332,GOUJONS,113248,76,1,female,parent,59889,6,collectif,21001B332,Anderlecht,8,Nursing Home,21001B332,GOUJONS
