,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21004E82-,CITE MODELE,372548,18,1,female,parent,202361,3,single,21004E82-,Bruxelles,21004E82-,CITE MODELE,Bruxelles,5,Unif off campus,21017A09-,FORET DE SOIGNES
1,21016A311,FORT JACO,1086664,18,1,female,child,588810,1,couple_with_child,21016A311,Uccle,21016A311,FORT JACO,Uccle,5,Unif off campus,21004F970,MARLY-NORD
2,21015A30-,GRANDE RUE AU BOIS,897577,18,1,female,parent,489850,3,single,21015A30-,Schaerbeek,21015A30-,GRANDE RUE AU BOIS,Schaerbeek,5,Unif off campus,21016A533,MOENSBERG
3,21004F531,RUE DES FAINES,230554,18,1,female,child,123956,1,couple_with_child,21004F531,Bruxelles,21004F531,RUE DES FAINES,Bruxelles,5,Unif off campus,21016A521,VERREWINKEL
4,21003A312,POTAARDE  VLAK,164306,18,1,female,parent,86804,3,single,21003A312,Berchem Sainte-Agathe,21003A312,POTAARDE  VLAK,Berchem Sainte-Agathe,5,Unif off campus,21019A43-,CORNICHE VERTE
5,21019A15-,KAPELLEVELD,1218637,18,1,female,parent,662901,3,single,21019A15-,Woluwe Saint-Pierre,21019A15-,KAPELLEVELD,Woluwe Saint-Pierre,5,Unif off campus,21001C522,HOPITAL U.L.B.
6,21006A011,CENTRE,474366,18,1,female,parent,259811,3,single,21006A011,Evere,21006A011,CENTRE,Evere,5,Unif off campus,21001C5PA,MEERVELD
7,21015A40-,BRABANT (RUE DE),953427,18,1,female,parent,518336,5,colloc,21015A40-,Schaerbeek,21015A40-,BRABANT (RUE DE),Schaerbeek,5,Unif off campus,21016A533,MOENSBERG
8,21019A21-,MANOIR,1213772,18,1,female,parent,660427,2,couple_no_child,21019A21-,Woluwe Saint-Pierre,21019A21-,MANOIR,Woluwe Saint-Pierre,5,Unif off campus,21001C6PB,ZONE RURALE
9,21004C54-,LOUISE (AVENUE)-SUD-EST,243121,18,1,female,parent,130309,3,single,21004C54-,Bruxelles,21004C54-,LOUISE (AVENUE)-SUD-EST,Bruxelles,5,Unif off campus,21004F970,MARLY-NORD
10,21004E74-,EM. DELVA (RUE),309301,18,1,female,child,170500,1,couple_with_child,21004E74-,Bruxelles,21004E74-,EM. DELVA (RUE),Bruxelles,5,Unif off campus,21017A09-,FORET DE SOIGNES
11,21002A20-,SAINT-JULIEN,126936,18,1,female,parent,66896,1,couple_with_child,21002A20-,Auderghem,21002A20-,SAINT-JULIEN,Auderghem,5,Unif off campus,21004E800,DIVIN JESUS
12,21009A2MJ,CAMPUS UNIVERSITAIRE,557963,18,1,female,parent,307510,3,single,21009A2MJ,Ixelles,21009A2MJ,CAMPUS UNIVERSITAIRE,Ixelles,5,Unif off campus,21001C5PA,MEERVELD
13,21009A451,CHATELAIN (PLACE DU)-EST,592532,18,1,female,parent,329527,3,single,21009A451,Ixelles,21009A451,CHATELAIN (PLACE DU)-EST,Ixelles,5,Unif off campus,21004F970,MARLY-NORD
14,21016A72-,MELKRIEK,1035557,18,1,female,parent,560946,2,couple_no_child,21016A72-,Uccle,21016A72-,MELKRIEK,Uccle,5,Unif off campus,21004G3MJ,DOBBELENBERG (RUE DE)
15,21002A21-,LEBON,146643,18,1,female,parent,77469,3,single,21002A21-,Auderghem,21002A21-,LEBON,Auderghem,5,Unif off campus,21010A4MJ,VUB
16,21016A80-,VANDERKINDERE,1041023,18,1,female,parent,564038,3,single,21016A80-,Uccle,21016A80-,VANDERKINDERE,Uccle,5,Unif off campus,21004F970,MARLY-NORD
17,21004D610,ANVERS (CHAUSSEE D')-SUD,380441,18,1,female,child,207138,1,couple_with_child,21004D610,Bruxelles,21004D610,ANVERS (CHAUSSEE D')-SUD,Bruxelles,5,Unif off campus,21017A09-,FORET DE SOIGNES
18,21017A41-,AVENUE DE VISE,1097286,18,1,female,child,594777,1,couple_with_child,21017A41-,Watermael-Boitsfort,21017A41-,AVENUE DE VISE,Watermael-Boitsfort,5,Unif off campus,21004E82-,CITE MODELE
19,21009A63-,MACAU,530639,18,1,female,parent,290623,3,single,21009A63-,Ixelles,21009A63-,MACAU,Ixelles,5,Unif off campus,21004F970,MARLY-NORD
20,21016A841,ZEECRABBE,1014899,18,1,female,parent,549387,1,couple_with_child,21016A841,Uccle,21016A841,ZEECRABBE,Uccle,5,Unif off campus,21004F970,MARLY-NORD
21,21018A61-,HEYDENBERG-EST,1146227,18,1,female,child,622524,1,couple_with_child,21018A61-,Woluwe Saint-Lambert,21018A61-,HEYDENBERG-EST,Woluwe Saint-Lambert,5,Unif off campus,21001C522,HOPITAL U.L.B.
22,21012A811,MYRTES-NORD,764389,18,1,female,child,417113,1,couple_with_child,21012A811,Molenbeek Saint-Jean,21012A811,MYRTES-NORD,Molenbeek Saint-Jean,5,Unif off campus,21017A09-,FORET DE SOIGNES
23,21016A82-,CHURCHILL,1004935,18,1,female,child,543735,1,couple_with_child,21016A82-,Uccle,21016A82-,CHURCHILL,Uccle,5,Unif off campus,21004F970,MARLY-NORD
24,21004B44-,AMBIORIX-SUD (SQUARE),216033,18,1,female,parent,114884,1,couple_with_child,21004B44-,Bruxelles,21004B44-,AMBIORIX-SUD (SQUARE),Bruxelles,5,Unif off campus,21001C522,HOPITAL U.L.B.
25,21014A41-,BOSSUET,838804,18,1,female,parent,458990,1,couple_with_child,21014A41-,Saint-Josse-ten-Noode,21014A41-,BOSSUET,Saint-Josse-ten-Noode,5,Unif off campus,21016A533,MOENSBERG
26,21012A71-,PIERS,737283,18,1,female,parent,402598,1,couple_with_child,21012A71-,Molenbeek Saint-Jean,21012A71-,PIERS,Molenbeek Saint-Jean,5,Unif off campus,21017A09-,FORET DE SOIGNES
27,21007A239,NEPTUNE (AVENUE) I,520562,18,1,female,parent,284322,3,single,21007A239,Forest,21007A239,NEPTUNE (AVENUE) I,Forest,5,Unif off campus,21004F970,MARLY-NORD
28,21011A02-,JACQUET (RUE DE),666358,18,1,female,child,367019,1,couple_with_child,21011A02-,Koekelberg,21011A02-,JACQUET (RUE DE),Koekelberg,5,Unif off campus,21017A09-,FORET DE SOIGNES
