,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21015A831,LATINIS (AVENUE G.),883651,17,1,female,child,483314,1,couple_with_child,21015A831,Schaerbeek,5,Unif off campus,21016A533,MOENSBERG
1,21007A21-,MAGNANERIE,485794,17,0,male,child,265974,1,couple_with_child,21007A21-,Forest,5,Unif off campus,21004F970,MARLY-NORD
2,21015A54-,EMERAUDE (AVENUE),915142,17,1,female,child,499185,1,couple_with_child,21015A54-,Schaerbeek,5,Unif off campus,21001C522,HOPITAL U.L.B.
3,21010A312,BAECK DUPRE,609144,17,1,female,child,338377,1,couple_with_child,21010A312,Jette,5,Unif off campus,21017A09-,FORET DE SOIGNES
4,21010A05-,ALBERT (QUARTIER),615833,17,1,female,child,341481,4,single_with_child,21010A05-,Jette,5,Unif off campus,21017A09-,FORET DE SOIGNES
5,21015A32-,CONSOLATION (RUE DE LA),900128,17,1,female,child,491318,1,couple_with_child,21015A32-,Schaerbeek,5,Unif off campus,21016A533,MOENSBERG
6,21015A152,PR. ELISABETH-NORD,932773,17,1,female,child,508179,1,couple_with_child,21015A152,Schaerbeek,5,Unif off campus,21016A521,VERREWINKEL
7,21010A01-,ESSEGHEM,637488,17,1,female,child,352726,1,couple_with_child,21010A01-,Jette,5,Unif off campus,21017A09-,FORET DE SOIGNES
8,21010A04-,NOTRE-DAME DE LOURDES,595614,17,1,female,child,331265,1,couple_with_child,21010A04-,Jette,5,Unif off campus,21017A09-,FORET DE SOIGNES
9,21004A04-,NOTRE-DAME DE LA CHAPELLE,272777,17,1,female,child,148892,1,couple_with_child,21004A04-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
10,21015A721,F. COURTENS (AVENUE),874786,17,1,female,child,478696,1,couple_with_child,21015A721,Schaerbeek,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
11,21002A12-,AVENUE SCHALLER,157894,17,1,female,child,83662,1,couple_with_child,21002A12-,Auderghem,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
12,21004D672,QUAI DE WILLEBROECK,362615,17,0,male,child,197452,4,single_with_child,21004D672,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
13,21003A04-,L. DE SMET,168078,17,0,male,child,89095,1,couple_with_child,21003A04-,Berchem Sainte-Agathe,5,Unif off campus,21015A13-,PORTAELS (RUE)
14,21019A32-,CHANT D'OISEAU,1202681,17,1,female,child,654561,1,couple_with_child,21019A32-,Woluwe Saint-Pierre,5,Unif off campus,21009A501,LUXEMBOURG (PLACE DE)
15,21016A620,KRIEKENPUT,1053754,17,1,female,child,571089,1,couple_with_child,21016A620,Uccle,5,Unif off campus,21001B25-,REVISION-NORD
16,21016A102,GROESELENBERG,1064657,17,0,male,child,576687,4,single_with_child,21016A102,Uccle,5,Unif off campus,21001B25-,REVISION-NORD
17,21009A73-,BERCKENDAEL,588065,17,1,female,child,327100,4,single_with_child,21009A73-,Ixelles,5,Unif off campus,21019A52-,DUC (RUE)
18,21004G30-,SAINTE-ELISABETH,202699,17,0,male,child,107504,1,couple_with_child,21004G30-,Bruxelles,5,Unif off campus,21019A52-,DUC (RUE)
19,21018A20-,GEORGES HENRI (AVENUE),1116237,17,0,male,child,605735,1,couple_with_child,21018A20-,Woluwe Saint-Lambert,5,Unif off campus,21019A52-,DUC (RUE)
20,21016A831,LONGCHAMP,1011349,17,0,male,child,547430,1,couple_with_child,21016A831,Uccle,5,Unif off campus,21002A12-,AVENUE SCHALLER
21,21001A142,VEEWEYDE-NORD,64941,17,0,male,child,35246,4,single_with_child,21001A142,Anderlecht,5,Unif off campus,21007A70-,ALTITUDE  CENT
22,21004E12-,PRINCE LEOPOLD (SQUARE),349362,17,1,female,child,190311,1,couple_with_child,21004E12-,Bruxelles,5,Unif off campus,21018A37-,COMMUNAUTES
23,21004A14-,GRAND SABLON,280967,17,1,female,parent,154329,5,colloc,21004A14-,Bruxelles,5,Unif off campus,21018A37-,COMMUNAUTES
24,21015A54-,EMERAUDE (AVENUE),914802,17,1,female,child,499038,1,couple_with_child,21015A54-,Schaerbeek,5,Unif off campus,21018A37-,COMMUNAUTES
25,21017A13-,BOULEAUX,1108413,17,1,female,child,601272,1,couple_with_child,21017A13-,Watermael-Boitsfort,5,Unif off campus,21018A37-,COMMUNAUTES
26,21005A11-,NOTRE-DAME DU SACRE-COEUR,420392,17,0,male,child,230005,4,single_with_child,21005A11-,Etterbeek,5,Unif off campus,21018A37-,COMMUNAUTES
27,21012A851,CONDOR,696473,17,0,male,child,382752,1,couple_with_child,21012A851,Molenbeek Saint-Jean,5,Unif off campus,21018A37-,COMMUNAUTES
28,21001A81-,BROECK,49013,17,0,male,child,26997,1,couple_with_child,21001A81-,Anderlecht,5,Unif off campus,21006A515,CARLI
29,21001A52-,SCHERDEMAEL-NORD,23735,17,0,male,child,13130,1,couple_with_child,21001A52-,Anderlecht,5,Unif off campus,21016A214,ASTRONOMES
30,21001A051,LINDE-EST,66895,17,0,male,parent,36226,5,colloc,21001A051,Anderlecht,5,Unif off campus,21006A23-,DU BONHEUR
31,21001A31-,CHAUSSEE DE MONS - SAINT-LUC,51012,17,0,male,child,28079,1,couple_with_child,21001A31-,Anderlecht,5,Unif off campus,21004A001,GRAND-PLACE
32,21001A112,BIESTEBROEK,124050,17,0,male,child,65406,4,single_with_child,21001A112,Anderlecht,5,Unif off campus,21015A272,HOPITAL P. BRIEN
33,21002A511,INVALIDES (BOULEVARD DES),129173,17,0,male,child,68318,1,couple_with_child,21002A511,Auderghem,5,Unif off campus,21013A00-,HOTEL DE VILLE
34,21002A12-,AVENUE SCHALLER,157675,17,0,male,child,83577,1,couple_with_child,21002A12-,Auderghem,5,Unif off campus,21004A13-,PETIT SABLON
35,21002A030,LAMMERENDRIES,151653,17,0,male,child,80333,1,couple_with_child,21002A030,Auderghem,5,Unif off campus,21002A00-,CENTRE - NORD
36,21004D64-,MASUI (PLACE)-NORD,341721,17,0,male,child,186289,1,couple_with_child,21004D64-,Bruxelles,5,Unif off campus,21009A121,GENERAL DE GAULLE
37,21004E70-,MARIE-CHRISTINE (RUE),302814,17,0,male,child,167424,4,single_with_child,21004E70-,Bruxelles,5,Unif off campus,21007A21-,MAGNANERIE
38,21004E74-,EM. DELVA (RUE),309114,17,0,male,child,170439,4,single_with_child,21004E74-,Bruxelles,5,Unif off campus,21004G3MJ,DOBBELENBERG (RUE DE)
39,21004A21-,ANNEESSENS (PLACE),297843,17,0,male,parent,164790,5,colloc,21004A21-,Bruxelles,5,Unif off campus,21010A00-,CENTRE
40,21004E83-,STIENON (AVENUE),321578,17,0,male,child,176652,1,couple_with_child,21004E83-,Bruxelles,5,Unif off campus,21001B11-,ROSEE-OUEST
41,21004A70-,BLAES (RUE)-SUD,252485,17,0,male,child,135795,1,couple_with_child,21004A70-,Bruxelles,5,Unif off campus,21016A912,GLOBE-OUEST
