,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21004A811,QUAI DU COMMERCE,361460,21,1,female,parent,196515,3,single,21004A811,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
1,21004E12-,PRINCE LEOPOLD (SQUARE),352435,21,1,female,parent,191342,4,single_with_child,21004E12-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
2,21004A21-,ANNEESSENS (PLACE),296406,21,1,female,parent,163625,3,single,21004A21-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
3,21004E81-,DISQUE (RUE DU),377722,21,1,female,parent,205531,1,couple_with_child,21004E81-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
4,21004E800,DIVIN JESUS,355498,21,1,female,child,193477,1,couple_with_child,21004E800,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
5,21004F531,RUE DES FAINES,232345,21,1,female,parent,124584,1,couple_with_child,21004F531,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
6,21004G30-,SAINTE-ELISABETH,202776,21,1,female,child,107527,1,couple_with_child,21004G30-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
7,21004A20-,BOURSE-NORD-OUEST,278195,21,1,female,parent,152276,3,single,21004A20-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
8,21004E82-,CITE MODELE,372422,21,1,female,parent,202317,1,couple_with_child,21004E82-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
9,21004E211,RUE DE WAND,347214,21,1,female,parent,189022,3,single,21004E211,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
10,21004A14-,GRAND SABLON,280353,21,1,female,parent,153783,3,single,21004A14-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
11,21004D610,ANVERS (CHAUSSEE D')-SUD,381644,21,1,female,parent,207552,4,single_with_child,21004D610,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
12,21004E74-,EM. DELVA (RUE),309300,21,1,female,child,170500,1,couple_with_child,21004E74-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
13,21004G30-,SAINTE-ELISABETH,204839,21,1,female,parent,108146,4,single_with_child,21004G30-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
14,21004D610,ANVERS (CHAUSSEE D')-SUD,381604,21,1,female,parent,207540,1,couple_with_child,21004D610,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
15,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,333609,21,1,female,parent,182152,1,couple_with_child,21004E73-,Bruxelles,5,Unif off campus,21004C642,AVENUE FRANKLIN ROOSEVELT
16,21004A23-,NOUVEAU MARCHE AU GRAIN,259071,21,1,female,child,139859,1,couple_with_child,21004A23-,Bruxelles,5,Unif off campus,21004E8NJ,HOPITAL BRUGMANN
17,21004E12-,PRINCE LEOPOLD (SQUARE),352361,21,1,female,parent,191320,1,couple_with_child,21004E12-,Bruxelles,5,Unif off campus,21004E8NJ,HOPITAL BRUGMANN
18,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,331494,21,1,female,child,181450,1,couple_with_child,21004E73-,Bruxelles,5,Unif off campus,21004E8NJ,HOPITAL BRUGMANN
19,21004E12-,PRINCE LEOPOLD (SQUARE),352441,21,1,female,parent,191344,4,single_with_child,21004E12-,Bruxelles,5,Unif off campus,21004E8NJ,HOPITAL BRUGMANN
20,21004E74-,EM. DELVA (RUE),312213,21,1,female,parent,171462,1,couple_with_child,21004E74-,Bruxelles,5,Unif off campus,21004E8NJ,HOPITAL BRUGMANN
21,21004B43-,AMBIORIX-NORD (SQUARE),221039,21,1,female,parent,117570,1,couple_with_child,21004B43-,Bruxelles,5,Unif off campus,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES
22,21004E70-,MARIE-CHRISTINE (RUE),302170,21,1,female,child,167209,4,single_with_child,21004E70-,Bruxelles,5,Unif off campus,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES
23,21004C52-,LOUISE (AVENUE)-NORD-OUEST,284373,21,1,female,parent,156712,3,single,21004C52-,Bruxelles,5,Unif off campus,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES
24,21004A32-,CONGRES - GARE,282362,21,1,female,child,155435,4,single_with_child,21004A32-,Bruxelles,5,Unif off campus,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES
25,21004E70-,MARIE-CHRISTINE (RUE),304082,21,1,female,parent,167812,1,couple_with_child,21004E70-,Bruxelles,5,Unif off campus,21004A3MJ,CITE ADMINISTRATIVE ET CONGRES
26,21004B43-,AMBIORIX-NORD (SQUARE),221071,21,1,female,parent,117594,4,single_with_child,21004B43-,Bruxelles,5,Unif off campus,21004A03-,BON SECOURS - PALAIS DU MIDI
27,21004E70-,MARIE-CHRISTINE (RUE),304105,21,1,female,parent,167821,4,single_with_child,21004E70-,Bruxelles,5,Unif off campus,21004A03-,BON SECOURS - PALAIS DU MIDI
28,21004F901,PLACE PETER BENOIT,201634,21,1,female,parent,106858,1,couple_with_child,21004F901,Bruxelles,5,Unif off campus,21004A03-,BON SECOURS - PALAIS DU MIDI
29,21004D672,QUAI DE WILLEBROECK,363303,21,1,female,parent,197767,2,couple_no_child,21004D672,Bruxelles,5,Unif off campus,21004A03-,BON SECOURS - PALAIS DU MIDI
30,21004A23-,NOUVEAU MARCHE AU GRAIN,260070,21,1,female,parent,140294,3,single,21004A23-,Bruxelles,5,Unif off campus,21004A03-,BON SECOURS - PALAIS DU MIDI
31,21004A23-,NOUVEAU MARCHE AU GRAIN,260074,21,1,female,parent,140298,3,single,21004A23-,Bruxelles,5,Unif off campus,21004A32-,CONGRES - GARE
32,21004A34-,MONNAIE,271073,21,1,female,parent,147602,3,single,21004A34-,Bruxelles,5,Unif off campus,21004A32-,CONGRES - GARE
33,21004F511,AVENUE DES PAGODES,195228,21,1,female,child,103662,1,couple_with_child,21004F511,Bruxelles,5,Unif off campus,21004A32-,CONGRES - GARE
34,21004E82-,CITE MODELE,370167,21,1,female,child,201463,4,single_with_child,21004E82-,Bruxelles,5,Unif off campus,21004A32-,CONGRES - GARE
35,21004E74-,EM. DELVA (RUE),312228,21,1,female,parent,171466,2,couple_no_child,21004E74-,Bruxelles,5,Unif off campus,21004A32-,CONGRES - GARE
36,21004A24-,MARCHE AU PORCS,224155,21,1,female,child,119751,1,couple_with_child,21004A24-,Bruxelles,5,Unif off campus,21004A72-,SAINT-THOMAS (INSTITUT)
37,21004B13-,TREVES (RUE DE),245880,21,1,female,parent,132134,3,single,21004B13-,Bruxelles,5,Unif off campus,21004A72-,SAINT-THOMAS (INSTITUT)
38,21004B43-,AMBIORIX-NORD (SQUARE),221021,21,1,female,parent,117565,1,couple_with_child,21004B43-,Bruxelles,5,Unif off campus,21004A72-,SAINT-THOMAS (INSTITUT)
39,21004A03-,BON SECOURS - PALAIS DU MIDI,256897,21,1,female,parent,138368,3,single,21004A03-,Bruxelles,5,Unif off campus,21004A72-,SAINT-THOMAS (INSTITUT)
40,21004G310,HAREN-SUD-OUEST,198613,21,1,female,child,105324,1,couple_with_child,21004G310,Bruxelles,5,Unif off campus,21004A72-,SAINT-THOMAS (INSTITUT)
41,21004C63-,NATIONS (SQUARE DES),244737,21,1,female,parent,131277,3,single,21004C63-,Bruxelles,5,Unif off campus,21004A22-,SENNE (RUE DE LA)
