,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21001B25-,REVISION-NORD,75494,46,1,female,parent,40746,1,couple_with_child,Anderlecht,6,Worker,21001C5MA,MEYLEMEERSCH
1,21001A503,VIVES,7705,57,1,female,parent,4221,1,couple_with_child,Anderlecht,6,Worker,21003A2MJ,GARE
2,21001B25-,REVISION-NORD,75587,45,1,female,parent,40780,4,single_with_child,Anderlecht,6,Worker,21004A10-,GARE CENTRALE
3,21001A112,BIESTEBROEK,123357,58,1,female,parent,65142,1,couple_with_child,Anderlecht,6,Worker,21004A13-,PETIT SABLON
4,21001A30-,BIZET,43219,41,0,male,parent,23684,1,couple_with_child,Anderlecht,6,Worker,21004D631,ALLEE VERTE - BASSIN VERGOTE
5,21001A85-,AUBADE,20599,37,1,female,parent,11236,1,couple_with_child,Anderlecht,6,Worker,21005A00-,HOTEL COMMUNAL
6,21001A051,LINDE-EST,66172,44,0,male,parent,35869,2,couple_no_child,Anderlecht,6,Worker,21013A242,BETHLEEM (PLACE DE)
7,21001C512,CHANTS D'OISEAUX,35041,59,1,female,parent,19135,3,single,Anderlecht,6,Worker,21015A421,PALAIS (RUE DE)
8,21002A041,VIGNETTE,160766,41,1,female,parent,85231,1,couple_with_child,Auderghem,6,Worker,21016A00-,GLOBE-EST
9,21004A35-,AD. MAX (BOULEVARD),227265,39,1,female,parent,121771,3,single,Bruxelles,6,Worker,21004A002,BOURSE
10,21004E82-,CITE MODELE,370315,39,1,female,child,201520,1,couple_with_child,Bruxelles,6,Worker,21004A002,BOURSE
11,21004A13-,PETIT SABLON,299219,56,1,female,parent,165850,3,single,Bruxelles,6,Worker,21004A002,BOURSE
12,21004A21-,ANNEESSENS (PLACE),296809,60,0,male,parent,163884,3,single,Bruxelles,6,Worker,21004A32-,CONGRES - GARE
13,21004C501,LOUISE (AVENUE)-NORD,292031,48,0,male,parent,161877,3,single,Bruxelles,6,Worker,21004B10-,ORBAN (SQUARE)
14,21004E112,RUE DES CHRYSANTHEMES,342447,53,1,female,parent,186666,1,couple_with_child,Bruxelles,6,Worker,21004B13-,TREVES (RUE DE)
15,21004A811,QUAI DU COMMERCE,360267,52,1,female,parent,196043,4,single_with_child,Bruxelles,6,Worker,21004C54-,LOUISE (AVENUE)-SUD-EST
16,21004E73-,EM. BOCKSTAEL (BOULEVARD)-SUD,331449,55,1,female,parent,181439,4,single_with_child,Bruxelles,6,Worker,21015A43-,GARE DU NORD
17,21005A33-,CARDINAL LAVIGERIE (RUE),395143,36,0,male,parent,215449,1,couple_with_child,Etterbeek,6,Worker,21001A441,DOCTEUR ROUX
