,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21001B241,REVISION-SUD,113956,30,0,male,child,60255,4,single_with_child,Anderlecht,6,Worker,21001B31-,ALBERT I- IMMEUBLES
1,21001C512,CHANTS D'OISEAUX,35287,45,1,female,parent,19255,1,couple_with_child,Anderlecht,6,Worker,21001A81-,BROECK
2,21001A911,SCHEUT-EST,92611,54,1,female,parent,49774,3,single,Anderlecht,6,Worker,21001A00-,RESISTANCE
3,21001A34-,ROUE - CITE JARDIN,28784,64,0,male,parent,15766,1,couple_with_child,Anderlecht,6,Worker,21001C70-,BON AIR - CENTRE
4,21001A051,LINDE-EST,66697,48,0,male,parent,36101,3,single,Anderlecht,6,Worker,21006A073,GARE DE FORMATION
5,21001A95-,BUFFON,107362,44,1,female,parent,56915,2,couple_no_child,Anderlecht,6,Worker,21019A32-,CHANT D'OISEAU
6,21001A84-,POESIE,27276,47,0,male,child,15033,1,couple_with_child,Anderlecht,6,Worker,21001A37-,ZUEN - INDUSTRIE
7,21004E83-,STIENON (AVENUE),324172,18,1,female,parent,177628,3,single,Bruxelles,6,Worker,21006A101,CONSCIENCE
8,21004E130,SACRE-COEUR,329954,57,1,female,parent,180412,5,colloc,Bruxelles,6,Worker,21004D600,PARVIS SAINT-ROCH
9,21004D600,PARVIS SAINT-ROCH,378476,60,1,female,parent,206050,1,couple_with_child,Bruxelles,6,Worker,21009A00-,CENTRE
10,21004A70-,BLAES (RUE)-SUD,252635,41,1,female,parent,135856,1,couple_with_child,Bruxelles,6,Worker,21001A332,ROUE
11,21006A011,CENTRE,472502,57,1,female,parent,259161,4,single_with_child,Evere,6,Worker,21009A42-,RENIER CHALON
12,21007A541,LYCEE,498726,36,0,male,parent,272902,3,single,Forest,6,Worker,21004G3MJ,DOBBELENBERG (RUE DE)
13,21007A53-,WIELEMANS CEUPPENS,491143,57,0,male,parent,269022,1,couple_with_child,Forest,6,Worker,21016A831,LONGCHAMP
14,21009A451,CHATELAIN (PLACE DU)-EST,592717,50,0,male,parent,329708,3,single,Ixelles,6,Worker,21004E74-,EM. DELVA (RUE)
15,21009A101,FLAGEY (PLACE),521672,58,1,female,parent,285073,3,single,Ixelles,6,Worker,21009A311,TREILLE (RUE DE LA)
