,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,WorkerID,WorkerType,Name,Commune_x,Commune_y,Quartier,WorkSectorStatID,WorkSectorStatName,WorkCommuneName
0,21001A041,VEEWEYDE-SUD,2807,12,0,male,parent,601,4,single_with_child,3,Secondaires,VEEWEYDE-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
1,21001A32-,AURORE,13354,15,0,male,child,7407,1,couple_with_child,3,Secondaires,AURORE,Anderlecht,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
2,21001A43-,VAN BEETHOVEN,11103,18,0,male,child,6046,1,couple_with_child,3,Secondaires,VAN BEETHOVEN,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
3,21001A031,RAUTER-SUD,52042,14,1,female,child,28604,1,couple_with_child,3,Secondaires,RAUTER-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
4,21001A041,VEEWEYDE-SUD,1366,15,0,male,child,582,4,single_with_child,3,Secondaires,VEEWEYDE-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
5,21001A32-,AURORE,15714,14,0,male,child,8452,1,couple_with_child,3,Secondaires,AURORE,Anderlecht,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
6,21001A32-,AURORE,15062,18,1,female,child,8171,1,couple_with_child,3,Secondaires,AURORE,Anderlecht,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
7,21001A112,BIESTEBROEK,123504,16,0,male,child,65201,4,single_with_child,3,Secondaires,BIESTEBROEK,Anderlecht,Anderlecht,Veeweyde - Aurore,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
8,21001A041,VEEWEYDE-SUD,1599,14,1,female,child,673,4,single_with_child,3,Secondaires,VEEWEYDE-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
9,21001A041,VEEWEYDE-SUD,1178,17,0,male,child,512,1,couple_with_child,3,Secondaires,VEEWEYDE-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
10,21001A32-,AURORE,14167,13,0,male,child,7788,4,single_with_child,3,Secondaires,AURORE,Anderlecht,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
11,21001A112,BIESTEBROEK,124403,14,1,female,child,65530,1,couple_with_child,3,Secondaires,BIESTEBROEK,Anderlecht,Anderlecht,Veeweyde - Aurore,21019A43-,CORNICHE VERTE,Woluwe Saint-Pierre
12,21001A041,VEEWEYDE-SUD,851,14,0,male,child,388,1,couple_with_child,3,Secondaires,VEEWEYDE-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
13,21001A041,VEEWEYDE-SUD,449,13,0,male,child,241,4,single_with_child,3,Secondaires,VEEWEYDE-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
14,21001A041,VEEWEYDE-SUD,2803,13,0,male,parent,692,1,couple_with_child,3,Secondaires,VEEWEYDE-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
15,21001A142,VEEWEYDE-NORD,64969,12,1,female,child,35256,1,couple_with_child,3,Secondaires,VEEWEYDE-NORD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
16,21001A142,VEEWEYDE-NORD,64576,17,1,female,child,35102,4,single_with_child,3,Secondaires,VEEWEYDE-NORD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
17,21001A142,VEEWEYDE-NORD,65503,14,0,male,parent,34993,1,couple_with_child,3,Secondaires,VEEWEYDE-NORD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
18,21001A041,VEEWEYDE-SUD,1347,14,0,male,child,571,1,couple_with_child,3,Secondaires,VEEWEYDE-SUD,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
19,21001A32-,AURORE,14759,14,1,female,child,8042,1,couple_with_child,3,Secondaires,AURORE,Anderlecht,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
20,21001A43-,VAN BEETHOVEN,10733,15,1,female,child,5900,1,couple_with_child,3,Secondaires,VAN BEETHOVEN,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
21,21001A32-,AURORE,14953,18,1,female,child,8130,4,single_with_child,3,Secondaires,AURORE,Anderlecht,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
22,21001A43-,VAN BEETHOVEN,11253,14,1,female,child,6107,4,single_with_child,3,Secondaires,VAN BEETHOVEN,Anderlecht,Anderlecht,Veeweyde - Aurore,21002A190,FORET DE SOIGNES,Auderghem
23,21001A32-,AURORE,15352,13,1,female,child,8296,1,couple_with_child,3,Secondaires,AURORE,Anderlecht,Anderlecht,Veeweyde - Aurore,21004G3MJ,DOBBELENBERG (RUE DE),Bruxelles
