,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21013A51-,TOISON D'OR (AVENUE),828193,18,1,female,parent,453335,3,single,21013A51-,Saint-Gilles,21013A51-,TOISON D'OR (AVENUE),Saint-Gilles,5,Unif off campus,21004G3MJ,DOBBELENBERG (RUE DE)
1,21019A22-,PUTDAAL,1221052,18,1,female,parent,664453,5,colloc,21019A22-,Woluwe Saint-Pierre,21019A22-,PUTDAAL,Woluwe Saint-Pierre,5,Unif off campus,21001C6PB,ZONE RURALE
2,21004A32-,CONGRES - GARE,283021,18,1,female,parent,155797,3,single,21004A32-,Bruxelles,21004A32-,CONGRES - GARE,Bruxelles,5,Unif off campus,21017A09-,FORET DE SOIGNES
3,21004A23-,NOUVEAU MARCHE AU GRAIN,260151,18,1,female,parent,140335,2,couple_no_child,21004A23-,Bruxelles,21004A23-,NOUVEAU MARCHE AU GRAIN,Bruxelles,5,Unif off campus,21017A09-,FORET DE SOIGNES
4,21012A72-,LAVALLEE,725002,18,1,female,parent,396644,5,colloc,21012A72-,Molenbeek Saint-Jean,21012A72-,LAVALLEE,Molenbeek Saint-Jean,5,Unif off campus,21017A09-,FORET DE SOIGNES
5,21006A414,P. DUPONT (RUE),465772,18,1,female,child,255251,1,couple_with_child,21006A414,Evere,21006A414,P. DUPONT (RUE),Evere,5,Unif off campus,21001C522,HOPITAL U.L.B.
6,21016A80-,VANDERKINDERE,1039462,18,1,female,child,563353,1,couple_with_child,21016A80-,Uccle,21016A80-,VANDERKINDERE,Uccle,5,Unif off campus,21004F970,MARLY-NORD
7,21016A01-,DIEWEG,1057661,18,1,female,parent,572783,1,couple_with_child,21016A01-,Uccle,21016A01-,DIEWEG,Uccle,5,Unif off campus,21004F9MJ,NEDER-HEEMBEEK-NORD
8,21004A33-,LIBERTE (PLACE DE LA),289577,18,1,female,parent,159996,3,single,21004A33-,Bruxelles,21004A33-,LIBERTE (PLACE DE LA),Bruxelles,5,Unif off campus,21001C5PA,MEERVELD
9,21009A21-,ETE,544779,18,1,female,child,299223,4,single_with_child,21009A21-,Ixelles,21009A21-,ETE,Ixelles,5,Unif off campus,21004F9MJ,NEDER-HEEMBEEK-NORD
10,21016A82-,CHURCHILL,1005228,18,1,female,child,543882,1,couple_with_child,21016A82-,Uccle,21016A82-,CHURCHILL,Uccle,5,Unif off campus,21004F970,MARLY-NORD
11,21010A01-,ESSEGHEM,636542,18,1,female,child,352385,1,couple_with_child,21010A01-,Jette,21010A01-,ESSEGHEM,Jette,5,Unif off campus,21017A09-,FORET DE SOIGNES
12,21003A05-,DE SELLIERS DE MORANVILLE,182916,18,1,female,child,96542,1,couple_with_child,21003A05-,Berchem Sainte-Agathe,21003A05-,DE SELLIERS DE MORANVILLE,Berchem Sainte-Agathe,5,Unif off campus,21017A09-,FORET DE SOIGNES
13,21001A120,MINIMES,118223,18,1,female,child,62376,1,couple_with_child,21001A120,Anderlecht,21001A120,MINIMES,Anderlecht,5,Unif off campus,21019A43-,CORNICHE VERTE
