,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21004A32-,CONGRES - GARE,283023,18,1,female,parent,155799,3,single,21004A32-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
1,21004E14-,ECOLE DES CADETS,365946,18,1,female,parent,198875,3,single,21004E14-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
2,21004E211,RUE DE WAND,347246,18,1,female,parent,189032,1,couple_with_child,21004E211,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
3,21004A23-,NOUVEAU MARCHE AU GRAIN,260153,18,1,female,parent,140336,3,single,21004A23-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
4,21004A71-,BLAES (RUE)-CENTRE,269212,18,1,female,parent,146176,1,couple_with_child,21004A71-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
5,21004A33-,LIBERTE (PLACE DE LA),289583,18,1,female,parent,160002,3,single,21004A33-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
6,21004E130,SACRE-COEUR,329850,18,1,female,parent,180397,5,colloc,21004E130,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
7,21004A21-,ANNEESSENS (PLACE),296582,18,1,female,parent,163704,3,single,21004A21-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
8,21004E130,SACRE-COEUR,329056,18,1,female,parent,179711,3,single,21004E130,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
9,21004E12-,PRINCE LEOPOLD (SQUARE),353370,18,1,female,parent,191993,5,colloc,21004E12-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
