,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code_x,Commune_x,Code_y,Name,Commune_y,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21004A20-,BOURSE-NORD-OUEST,278270,18,1,female,parent,152315,2,couple_no_child,21004A20-,Bruxelles,21004A20-,BOURSE-NORD-OUEST,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
1,21004G30-,SAINTE-ELISABETH,203351,18,1,female,child,107702,1,couple_with_child,21004G30-,Bruxelles,21004G30-,SAINTE-ELISABETH,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
2,21004A13-,PETIT SABLON,299570,18,1,female,parent,166052,1,couple_with_child,21004A13-,Bruxelles,21004A13-,PETIT SABLON,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
3,21004A32-,CONGRES - GARE,282623,18,1,female,child,155572,1,couple_with_child,21004A32-,Bruxelles,21004A32-,CONGRES - GARE,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
4,21004C53-,LOUISE (AVENUE)-SUD-OUEST,291211,18,1,female,parent,161250,1,couple_with_child,21004C53-,Bruxelles,21004C53-,LOUISE (AVENUE)-SUD-OUEST,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
5,21004A822,RUE DES COMMERCANTS,354700,18,1,female,parent,192892,3,single,21004A822,Bruxelles,21004A822,RUE DES COMMERCANTS,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
6,21004F922,RUE CHATEAU BEYAERD,238028,18,1,female,child,127502,1,couple_with_child,21004F922,Bruxelles,21004F922,RUE CHATEAU BEYAERD,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
7,21004A21-,ANNEESSENS (PLACE),295035,18,1,female,child,163111,1,couple_with_child,21004A21-,Bruxelles,21004A21-,ANNEESSENS (PLACE),Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
8,21004G30-,SAINTE-ELISABETH,204878,18,1,female,parent,108169,1,couple_with_child,21004G30-,Bruxelles,21004G30-,SAINTE-ELISABETH,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
9,21004C63-,NATIONS (SQUARE DES),244765,18,1,female,parent,131295,3,single,21004C63-,Bruxelles,21004C63-,NATIONS (SQUARE DES),Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
10,21004E101,PARVIS NOTRE DAME,357901,18,1,female,child,194725,1,couple_with_child,21004E101,Bruxelles,21004E101,PARVIS NOTRE DAME,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
11,21004C62-,BOENDAAL-OUEST,197467,18,1,female,parent,104722,3,single,21004C62-,Bruxelles,21004C62-,BOENDAAL-OUEST,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
12,21004C51-,LOUISE (AVENUE)-NORD-EST,287533,18,1,female,parent,158744,3,single,21004C51-,Bruxelles,21004C51-,LOUISE (AVENUE)-NORD-EST,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
13,21004E12-,PRINCE LEOPOLD (SQUARE),353276,18,1,female,parent,191978,5,colloc,21004E12-,Bruxelles,21004E12-,PRINCE LEOPOLD (SQUARE),Bruxelles,5,Unif off campus,21004E8NJ,"Name       HOPITAL BRUGMANN
Commune           Bruxelles
Name: 21004E8NJ, dtype: object"
14,21004B411,DEUX EGLISES (RUE DES),194490,18,1,female,parent,103041,3,single,21004B411,Bruxelles,21004B411,DEUX EGLISES (RUE DES),Bruxelles,5,Unif off campus,21004A3MJ,"Name       CITE ADMINISTRATIVE ET CONGRES
Commune                         Bruxelles
Name: 21004A3MJ, dtype: object"
15,21004E72-,MAISON ROUGE (PLACE)-SUD,337219,18,1,female,child,183993,1,couple_with_child,21004E72-,Bruxelles,21004E72-,MAISON ROUGE (PLACE)-SUD,Bruxelles,5,Unif off campus,21004A03-,"Name       BON SECOURS - PALAIS DU MIDI
Commune                       Bruxelles
Name: 21004A03-, dtype: object"
16,21004A24-,MARCHE AU PORCS,224437,18,1,female,child,119878,1,couple_with_child,21004A24-,Bruxelles,21004A24-,MARCHE AU PORCS,Bruxelles,5,Unif off campus,21004A32-,"Name       CONGRES - GARE
Commune         Bruxelles
Name: 21004A32-, dtype: object"
17,21004G3NJ,HAREN-SUD,239911,18,1,female,child,128457,1,couple_with_child,21004G3NJ,Bruxelles,21004G3NJ,HAREN-SUD,Bruxelles,5,Unif off campus,21004A72-,"Name       SAINT-THOMAS (INSTITUT)
Commune                  Bruxelles
Name: 21004A72-, dtype: object"
18,21004E74-,EM. DELVA (RUE),312467,18,1,female,parent,171555,2,couple_no_child,21004E74-,Bruxelles,21004E74-,EM. DELVA (RUE),Bruxelles,5,Unif off campus,21004A22-,"Name       SENNE (RUE DE LA)
Commune            Bruxelles
Name: 21004A22-, dtype: object"
19,21004B411,DEUX EGLISES (RUE DES),194486,18,1,female,parent,103037,3,single,21004B411,Bruxelles,21004B411,DEUX EGLISES (RUE DES),Bruxelles,5,Unif off campus,21004C552,"Name       LOUISE (AVENUE)-SUD
Commune              Bruxelles
Name: 21004C552, dtype: object"
20,21004A33-,LIBERTE (PLACE DE LA),289579,18,1,female,parent,159998,3,single,21004A33-,Bruxelles,21004A33-,LIBERTE (PLACE DE LA),Bruxelles,5,Unif off campus,21004C501,"Name       LOUISE (AVENUE)-NORD
Commune               Bruxelles
Name: 21004C501, dtype: object"
21,21004E70-,MARIE-CHRISTINE (RUE),301052,18,1,female,child,166847,1,couple_with_child,21004E70-,Bruxelles,21004E70-,MARIE-CHRISTINE (RUE),Bruxelles,5,Unif off campus,21004A13-,"Name       PETIT SABLON
Commune       Bruxelles
Name: 21004A13-, dtype: object"
22,21004E81-,DISQUE (RUE DU),376960,18,1,female,child,205229,1,couple_with_child,21004E81-,Bruxelles,21004E81-,DISQUE (RUE DU),Bruxelles,5,Unif off campus,21004A01-,"Name       VIEILLE HALLE AUX BLES
Commune                 Bruxelles
Name: 21004A01-, dtype: object"
23,21004E12-,PRINCE LEOPOLD (SQUARE),353371,18,1,female,parent,191993,5,colloc,21004E12-,Bruxelles,21004E12-,PRINCE LEOPOLD (SQUARE),Bruxelles,5,Unif off campus,21004A33-,"Name       LIBERTE (PLACE DE LA)
Commune                Bruxelles
Name: 21004A33-, dtype: object"
24,21004A811,QUAI DU COMMERCE,361533,18,1,female,parent,196547,3,single,21004A811,Bruxelles,21004A811,QUAI DU COMMERCE,Bruxelles,5,Unif off campus,21004C54-,"Name       LOUISE (AVENUE)-SUD-EST
Commune                  Bruxelles
Name: 21004C54-, dtype: object"
25,21004E201,AVENUE JEAN DE BOLOGNE,319291,18,1,female,parent,175198,1,couple_with_child,21004E201,Bruxelles,21004E201,AVENUE JEAN DE BOLOGNE,Bruxelles,5,Unif off campus,21004C61-,"Name          U.L.B.
Commune    Bruxelles
Name: 21004C61-, dtype: object"
26,21004A20-,BOURSE-NORD-OUEST,278273,18,1,female,parent,152317,3,single,21004A20-,Bruxelles,21004A20-,BOURSE-NORD-OUEST,Bruxelles,5,Unif off campus,21004A02-,"Name       SAINT-FRANCOIS XAVIER
Commune                Bruxelles
Name: 21004A02-, dtype: object"
27,21004B43-,AMBIORIX-NORD (SQUARE),221239,18,1,female,parent,117671,3,single,21004B43-,Bruxelles,21004B43-,AMBIORIX-NORD (SQUARE),Bruxelles,5,Unif off campus,21004A21-,"Name       ANNEESSENS (PLACE)
Commune             Bruxelles
Name: 21004A21-, dtype: object"
28,21015A021,HOUFFALIZE (PLACE),893612,18,1,female,parent,487804,1,couple_with_child,21015A021,Schaerbeek,21015A021,HOUFFALIZE (PLACE),Schaerbeek,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
29,21015A22-,MARBOTIN A. (RUE),985232,18,1,female,child,533478,1,couple_with_child,21015A22-,Schaerbeek,21015A22-,MARBOTIN A. (RUE),Schaerbeek,5,Unif off campus,21004E8NJ,"Name       HOPITAL BRUGMANN
Commune           Bruxelles
Name: 21004E8NJ, dtype: object"
30,21015A20-,HELMET,990360,18,1,female,child,536122,1,couple_with_child,21015A20-,Schaerbeek,21015A20-,HELMET,Schaerbeek,5,Unif off campus,21004A3MJ,"Name       CITE ADMINISTRATIVE ET CONGRES
Commune                         Bruxelles
Name: 21004A3MJ, dtype: object"
31,21015A05-,ROYALE SAINTE-MARIE (RUE),927030,18,1,female,parent,505054,3,single,21015A05-,Schaerbeek,21015A05-,ROYALE SAINTE-MARIE (RUE),Schaerbeek,5,Unif off campus,21004A03-,"Name       BON SECOURS - PALAIS DU MIDI
Commune                       Bruxelles
Name: 21004A03-, dtype: object"
32,21015A43-,GARE DU NORD,955210,18,1,female,parent,519258,3,single,21015A43-,Schaerbeek,21015A43-,GARE DU NORD,Schaerbeek,5,Unif off campus,21004A32-,"Name       CONGRES - GARE
Commune         Bruxelles
Name: 21004A32-, dtype: object"
33,21015A54-,EMERAUDE (AVENUE),917721,18,1,female,parent,500243,3,single,21015A54-,Schaerbeek,21015A54-,EMERAUDE (AVENUE),Schaerbeek,5,Unif off campus,21004A72-,"Name       SAINT-THOMAS (INSTITUT)
Commune                  Bruxelles
Name: 21004A72-, dtype: object"
34,21015A111,MAETERLINCK,937831,18,1,female,child,510723,1,couple_with_child,21015A111,Schaerbeek,21015A111,MAETERLINCK,Schaerbeek,5,Unif off campus,21004A22-,"Name       SENNE (RUE DE LA)
Commune            Bruxelles
Name: 21004A22-, dtype: object"
35,21015A22-,MARBOTIN A. (RUE),983815,18,1,female,child,532984,4,single_with_child,21015A22-,Schaerbeek,21015A22-,MARBOTIN A. (RUE),Schaerbeek,5,Unif off campus,21004C552,"Name       LOUISE (AVENUE)-SUD
Commune              Bruxelles
Name: 21004C552, dtype: object"
36,21015A612,BRICHAUT (RUE DE),964035,18,1,female,child,523453,1,couple_with_child,21015A612,Schaerbeek,21015A612,BRICHAUT (RUE DE),Schaerbeek,5,Unif off campus,21004C501,"Name       LOUISE (AVENUE)-NORD
Commune               Bruxelles
Name: 21004C501, dtype: object"
37,21015A00-,COLIGNON (PLACE),974855,18,1,female,parent,527933,2,couple_no_child,21015A00-,Schaerbeek,21015A00-,COLIGNON (PLACE),Schaerbeek,5,Unif off campus,21004A13-,"Name       PETIT SABLON
Commune       Bruxelles
Name: 21004A13-, dtype: object"
38,21015A612,BRICHAUT (RUE DE),966101,18,1,female,parent,524129,3,single,21015A612,Schaerbeek,21015A612,BRICHAUT (RUE DE),Schaerbeek,5,Unif off campus,21004A01-,"Name       VIEILLE HALLE AUX BLES
Commune                 Bruxelles
Name: 21004A01-, dtype: object"
39,21015A30-,GRANDE RUE AU BOIS,895082,18,1,female,child,488878,1,couple_with_child,21015A30-,Schaerbeek,21015A30-,GRANDE RUE AU BOIS,Schaerbeek,5,Unif off campus,21004A33-,"Name       LIBERTE (PLACE DE LA)
Commune                Bruxelles
Name: 21004A33-, dtype: object"
40,21015A24-,WAELHEM (RUE),978445,18,1,female,child,530300,1,couple_with_child,21015A24-,Schaerbeek,21015A24-,WAELHEM (RUE),Schaerbeek,5,Unif off campus,21004C54-,"Name       LOUISE (AVENUE)-SUD-EST
Commune                  Bruxelles
Name: 21004C54-, dtype: object"
41,21015A31-,PATRIE,868046,18,1,female,child,475012,4,single_with_child,21015A31-,Schaerbeek,21015A31-,PATRIE,Schaerbeek,5,Unif off campus,21004C61-,"Name          U.L.B.
Commune    Bruxelles
Name: 21004C61-, dtype: object"
42,21015A13-,PORTAELS (RUE),982762,18,1,female,parent,532230,1,couple_with_child,21015A13-,Schaerbeek,21015A13-,PORTAELS (RUE),Schaerbeek,5,Unif off campus,21004A02-,"Name       SAINT-FRANCOIS XAVIER
Commune                Bruxelles
Name: 21004A02-, dtype: object"
43,21015A40-,BRABANT (RUE DE),950246,18,1,female,child,516900,1,couple_with_child,21015A40-,Schaerbeek,21015A40-,BRABANT (RUE DE),Schaerbeek,5,Unif off campus,21004A21-,"Name       ANNEESSENS (PLACE)
Commune             Bruxelles
Name: 21004A21-, dtype: object"
44,21005A042,PH. BAUCQ (RUE),388340,18,1,female,child,211324,4,single_with_child,21005A042,Etterbeek,21005A042,PH. BAUCQ (RUE),Etterbeek,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
45,21005A10-,GENERAL HENRI (RUE),383455,18,1,female,child,208799,1,couple_with_child,21005A10-,Etterbeek,21005A10-,GENERAL HENRI (RUE),Etterbeek,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
46,21005A14-,ARMEE (AVENUE DE L'),398817,18,1,female,parent,217409,3,single,21005A14-,Etterbeek,21005A14-,ARMEE (AVENUE DE L'),Etterbeek,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
47,21005A031,MAELBEEK,412972,18,1,female,child,225729,1,couple_with_child,21005A031,Etterbeek,21005A031,MAELBEEK,Etterbeek,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
48,21005A13-,LA CHASSE,400778,18,1,female,parent,218592,1,couple_with_child,21005A13-,Etterbeek,21005A13-,LA CHASSE,Etterbeek,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
49,21009A2MJ,CAMPUS UNIVERSITAIRE,557974,18,1,female,parent,307521,3,single,21009A2MJ,Ixelles,21009A2MJ,CAMPUS UNIVERSITAIRE,Ixelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
50,21009A2MJ,CAMPUS UNIVERSITAIRE,557962,18,1,female,parent,307509,3,single,21009A2MJ,Ixelles,21009A2MJ,CAMPUS UNIVERSITAIRE,Ixelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
51,21009A44-,PREVOT,560061,18,1,female,parent,308873,2,couple_no_child,21009A44-,Ixelles,21009A44-,PREVOT,Ixelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
52,21009A40-,MELEZES,536393,18,1,female,parent,294213,3,single,21009A40-,Ixelles,21009A40-,MELEZES,Ixelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
53,21009A612,LIEGEOIS (RUE),583218,18,1,female,child,323946,1,couple_with_child,21009A612,Ixelles,21009A612,LIEGEOIS (RUE),Ixelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
54,21013A101,PARVIS,779167,18,1,female,parent,424819,2,couple_no_child,21013A101,Saint-Gilles,21013A101,PARVIS,Saint-Gilles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
55,21013A052,FAIDER (RUE),811674,18,1,female,parent,443252,3,single,21013A052,Saint-Gilles,21013A052,FAIDER (RUE),Saint-Gilles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
56,21013A23-,ROI (AVENUE DU),799680,18,1,female,parent,436054,1,couple_with_child,21013A23-,Saint-Gilles,21013A23-,ROI (AVENUE DU),Saint-Gilles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
57,21001C71-,BON AIR - CITE JARDIN,37265,18,1,female,parent,20291,1,couple_with_child,21001C71-,Anderlecht,21001C71-,BON AIR - CITE JARDIN,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
58,21001A011,KLEINMOLEN,84982,18,1,female,parent,45447,3,single,21001A011,Anderlecht,21001A011,KLEINMOLEN,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
59,21001A92-,JAKOB SMITS,99963,18,1,female,child,53332,1,couple_with_child,21001A92-,Anderlecht,21001A92-,JAKOB SMITS,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
60,21001B25-,REVISION-NORD,75733,18,1,female,child,40829,1,couple_with_child,21001B25-,Anderlecht,21001B25-,REVISION-NORD,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
61,21001B21-,BROGNIEZ-NORD,90945,18,1,female,parent,48539,3,single,21001B21-,Anderlecht,21001B21-,BROGNIEZ-NORD,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
62,21001B25-,REVISION-NORD,74662,18,1,female,child,40462,1,couple_with_child,21001B25-,Anderlecht,21001B25-,REVISION-NORD,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
63,21001A84-,POESIE,27378,18,1,female,child,15075,4,single_with_child,21001A84-,Anderlecht,21001A84-,POESIE,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
64,21001A92-,JAKOB SMITS,99955,18,1,female,child,53330,1,couple_with_child,21001A92-,Anderlecht,21001A92-,JAKOB SMITS,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
65,21001A32-,AURORE,15425,18,1,female,child,8328,1,couple_with_child,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
66,21001A95-,BUFFON,107837,18,1,female,child,57078,1,couple_with_child,21001A95-,Anderlecht,21001A95-,BUFFON,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
67,21001A32-,AURORE,16372,18,1,female,parent,8694,3,single,21001A32-,Anderlecht,21001A32-,AURORE,Anderlecht,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
68,21001B10-,ROSEE-EST,111766,18,1,female,parent,58970,5,colloc,21001B10-,Anderlecht,21001B10-,ROSEE-EST,Anderlecht,5,Unif off campus,21004E8NJ,"Name       HOPITAL BRUGMANN
Commune           Bruxelles
Name: 21004E8NJ, dtype: object"
69,21001A00-,RESISTANCE,103490,18,1,female,child,55016,4,single_with_child,21001A00-,Anderlecht,21001A00-,RESISTANCE,Anderlecht,5,Unif off campus,21004A3MJ,"Name       CITE ADMINISTRATIVE ET CONGRES
Commune                         Bruxelles
Name: 21004A3MJ, dtype: object"
70,21001A401,ARBORETUM,12506,18,1,female,parent,6828,2,couple_no_child,21001A401,Anderlecht,21001A401,ARBORETUM,Anderlecht,5,Unif off campus,21004A03-,"Name       BON SECOURS - PALAIS DU MIDI
Commune                       Bruxelles
Name: 21004A03-, dtype: object"
71,21001B241,REVISION-SUD,114338,18,1,female,child,60387,1,couple_with_child,21001B241,Anderlecht,21001B241,REVISION-SUD,Anderlecht,5,Unif off campus,21004A32-,"Name       CONGRES - GARE
Commune         Bruxelles
Name: 21004A32-, dtype: object"
72,21001A74-,SCHEUT-OUEST,98330,18,1,female,parent,52250,2,couple_no_child,21001A74-,Anderlecht,21001A74-,SCHEUT-OUEST,Anderlecht,5,Unif off campus,21004A72-,"Name       SAINT-THOMAS (INSTITUT)
Commune                  Bruxelles
Name: 21004A72-, dtype: object"
73,21001A30-,BIZET,44282,18,1,female,parent,23996,3,single,21001A30-,Anderlecht,21001A30-,BIZET,Anderlecht,5,Unif off campus,21004A22-,"Name       SENNE (RUE DE LA)
Commune            Bruxelles
Name: 21004A22-, dtype: object"
74,21001B21-,BROGNIEZ-NORD,90946,18,1,female,parent,48540,3,single,21001B21-,Anderlecht,21001B21-,BROGNIEZ-NORD,Anderlecht,5,Unif off campus,21004C552,"Name       LOUISE (AVENUE)-SUD
Commune              Bruxelles
Name: 21004C552, dtype: object"
75,21001A051,LINDE-EST,66586,18,1,female,parent,36021,1,couple_with_child,21001A051,Anderlecht,21001A051,LINDE-EST,Anderlecht,5,Unif off campus,21004C501,"Name       LOUISE (AVENUE)-NORD
Commune               Bruxelles
Name: 21004C501, dtype: object"
76,21001A931,AGRAFE-NORBERT GILLE,95343,18,1,female,child,50952,1,couple_with_child,21001A931,Anderlecht,21001A931,AGRAFE-NORBERT GILLE,Anderlecht,5,Unif off campus,21004A13-,"Name       PETIT SABLON
Commune       Bruxelles
Name: 21004A13-, dtype: object"
77,21001A142,VEEWEYDE-NORD,65204,18,1,female,parent,35357,3,single,21001A142,Anderlecht,21001A142,VEEWEYDE-NORD,Anderlecht,5,Unif off campus,21004A01-,"Name       VIEILLE HALLE AUX BLES
Commune                 Bruxelles
Name: 21004A01-, dtype: object"
