,SectorStatID,SectorStatName,PersID,Age,GenderID,GenderName,ChildOrParent,HouseholdID,HouseholdTypeID,HouseholdTypeName,Code,Commune,WorkerID,WorkerType,WorkSectorStatID,WorkSectorStatName
0,21004C54-,LOUISE (AVENUE)-SUD-EST,242399,21,1,female,child,129939,1,couple_with_child,21004C54-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
1,21004A35-,AD. MAX (BOULEVARD),227616,21,1,female,parent,121939,3,single,21004A35-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
2,21004F522,AVENUE DE VERSAILLES,368877,21,1,female,parent,200563,1,couple_with_child,21004F522,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
3,21004A22-,SENNE (RUE DE LA),263164,21,1,female,child,142530,1,couple_with_child,21004A22-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
4,21004E82-,CITE MODELE,371249,21,1,female,child,201882,1,couple_with_child,21004E82-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
5,21004E14-,ECOLE DES CADETS,365837,21,1,female,parent,198836,1,couple_with_child,21004E14-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
6,21004C65-,VIVIER D'OIE,197998,21,1,female,parent,105064,1,couple_with_child,21004C65-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
7,21004A21-,ANNEESSENS (PLACE),294526,21,1,female,child,162938,1,couple_with_child,21004A21-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
8,21004F531,RUE DES FAINES,230682,21,1,female,child,124007,4,single_with_child,21004F531,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
9,21004B44-,AMBIORIX-SUD (SQUARE),215963,21,1,female,parent,114844,3,single,21004B44-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
10,21004A811,QUAI DU COMMERCE,361438,21,1,female,parent,196505,1,couple_with_child,21004A811,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
11,21004C61-,U.L.B.,241319,21,1,female,parent,129252,3,single,21004C61-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
12,21004G30-,SAINTE-ELISABETH,203382,21,1,female,child,107714,4,single_with_child,21004G30-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
13,21004B43-,AMBIORIX-NORD (SQUARE),221047,21,1,female,parent,117573,2,couple_no_child,21004B43-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
14,21004A16-,PALAIS JUSTICE-HOP. ST.-PIERRE,275045,21,1,female,parent,150098,4,single_with_child,21004A16-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
15,21004A22-,SENNE (RUE DE LA),263236,21,1,female,child,142552,1,couple_with_child,21004A22-,Bruxelles,5,Unif off campus,21004C642,"Name       AVENUE FRANKLIN ROOSEVELT
Commune                    Bruxelles
Name: 21004C642, dtype: object"
16,21004E101,PARVIS NOTRE DAME,358837,21,1,female,parent,195071,4,single_with_child,21004E101,Bruxelles,5,Unif off campus,21004E8NJ,"Name       HOPITAL BRUGMANN
Commune           Bruxelles
Name: 21004E8NJ, dtype: object"
17,21004A24-,MARCHE AU PORCS,223355,21,1,female,child,119388,4,single_with_child,21004A24-,Bruxelles,5,Unif off campus,21004E8NJ,"Name       HOPITAL BRUGMANN
Commune           Bruxelles
Name: 21004E8NJ, dtype: object"
18,21004G30-,SAINTE-ELISABETH,204838,21,1,female,parent,108145,4,single_with_child,21004G30-,Bruxelles,5,Unif off campus,21004E8NJ,"Name       HOPITAL BRUGMANN
Commune           Bruxelles
Name: 21004E8NJ, dtype: object"
19,21004B44-,AMBIORIX-SUD (SQUARE),215962,21,1,female,parent,114843,3,single,21004B44-,Bruxelles,5,Unif off campus,21004E8NJ,"Name       HOPITAL BRUGMANN
Commune           Bruxelles
Name: 21004E8NJ, dtype: object"
20,21004B43-,AMBIORIX-NORD (SQUARE),221011,21,1,female,parent,117562,1,couple_with_child,21004B43-,Bruxelles,5,Unif off campus,21004E8NJ,"Name       HOPITAL BRUGMANN
Commune           Bruxelles
Name: 21004E8NJ, dtype: object"
21,21004A71-,BLAES (RUE)-CENTRE,269184,21,1,female,parent,146161,4,single_with_child,21004A71-,Bruxelles,5,Unif off campus,21004A3MJ,"Name       CITE ADMINISTRATIVE ET CONGRES
Commune                         Bruxelles
Name: 21004A3MJ, dtype: object"
22,21004E81-,DISQUE (RUE DU),377737,21,1,female,parent,205535,3,single,21004E81-,Bruxelles,5,Unif off campus,21004A3MJ,"Name       CITE ADMINISTRATIVE ET CONGRES
Commune                         Bruxelles
Name: 21004A3MJ, dtype: object"
23,21004C53-,LOUISE (AVENUE)-SUD-OUEST,291188,21,1,female,parent,161236,2,couple_no_child,21004C53-,Bruxelles,5,Unif off campus,21004A3MJ,"Name       CITE ADMINISTRATIVE ET CONGRES
Commune                         Bruxelles
Name: 21004A3MJ, dtype: object"
24,21004D610,ANVERS (CHAUSSEE D')-SUD,380760,21,1,female,child,207251,1,couple_with_child,21004D610,Bruxelles,5,Unif off campus,21004A3MJ,"Name       CITE ADMINISTRATIVE ET CONGRES
Commune                         Bruxelles
Name: 21004A3MJ, dtype: object"
25,21004C552,LOUISE (AVENUE)-SUD,286211,21,1,female,parent,157838,1,couple_with_child,21004C552,Bruxelles,5,Unif off campus,21004A3MJ,"Name       CITE ADMINISTRATIVE ET CONGRES
Commune                         Bruxelles
Name: 21004A3MJ, dtype: object"
26,21004B43-,AMBIORIX-NORD (SQUARE),221000,21,1,female,parent,117559,1,couple_with_child,21004B43-,Bruxelles,5,Unif off campus,21004A03-,"Name       BON SECOURS - PALAIS DU MIDI
Commune                       Bruxelles
Name: 21004A03-, dtype: object"
27,21004E72-,MAISON ROUGE (PLACE)-SUD,339360,21,1,female,parent,184678,1,couple_with_child,21004E72-,Bruxelles,5,Unif off campus,21004A03-,"Name       BON SECOURS - PALAIS DU MIDI
Commune                       Bruxelles
Name: 21004A03-, dtype: object"
28,21004A72-,SAINT-THOMAS (INSTITUT),267623,21,1,female,parent,145138,1,couple_with_child,21004A72-,Bruxelles,5,Unif off campus,21004A03-,"Name       BON SECOURS - PALAIS DU MIDI
Commune                       Bruxelles
Name: 21004A03-, dtype: object"
29,21004D600,PARVIS SAINT-ROCH,379037,21,1,female,parent,206294,4,single_with_child,21004D600,Bruxelles,5,Unif off campus,21004A03-,"Name       BON SECOURS - PALAIS DU MIDI
Commune                       Bruxelles
Name: 21004A03-, dtype: object"
30,21004E201,AVENUE JEAN DE BOLOGNE,317524,21,1,female,child,174569,1,couple_with_child,21004E201,Bruxelles,5,Unif off campus,21004A03-,"Name       BON SECOURS - PALAIS DU MIDI
Commune                       Bruxelles
Name: 21004A03-, dtype: object"
31,21004A20-,BOURSE-NORD-OUEST,276935,21,1,female,child,151677,1,couple_with_child,21004A20-,Bruxelles,5,Unif off campus,21004A32-,"Name       CONGRES - GARE
Commune         Bruxelles
Name: 21004A32-, dtype: object"
32,21004A01-,VIEILLE HALLE AUX BLES,261811,21,1,female,parent,141635,3,single,21004A01-,Bruxelles,5,Unif off campus,21004A32-,"Name       CONGRES - GARE
Commune         Bruxelles
Name: 21004A32-, dtype: object"
33,21004A71-,BLAES (RUE)-CENTRE,268816,21,1,female,child,145986,1,couple_with_child,21004A71-,Bruxelles,5,Unif off campus,21004A32-,"Name       CONGRES - GARE
Commune         Bruxelles
Name: 21004A32-, dtype: object"
34,21004A22-,SENNE (RUE DE LA),264494,21,1,female,parent,142982,3,single,21004A22-,Bruxelles,5,Unif off campus,21004A32-,"Name       CONGRES - GARE
Commune         Bruxelles
Name: 21004A32-, dtype: object"
35,21004E233,DE MEYSSE (AVENUE),357056,21,1,female,parent,194241,1,couple_with_child,21004E233,Bruxelles,5,Unif off campus,21004A32-,"Name       CONGRES - GARE
Commune         Bruxelles
Name: 21004A32-, dtype: object"
36,21004G310,HAREN-SUD-OUEST,198972,21,1,female,child,105470,4,single_with_child,21004G310,Bruxelles,5,Unif off campus,21004A72-,"Name       SAINT-THOMAS (INSTITUT)
Commune                  Bruxelles
Name: 21004A72-, dtype: object"
37,21004B43-,AMBIORIX-NORD (SQUARE),221043,21,1,female,parent,117571,2,couple_no_child,21004B43-,Bruxelles,5,Unif off campus,21004A72-,"Name       SAINT-THOMAS (INSTITUT)
Commune                  Bruxelles
Name: 21004A72-, dtype: object"
38,21004B2MJ,SCHUMAN (ROND-POINT),213481,21,1,female,parent,113448,2,couple_no_child,21004B2MJ,Bruxelles,5,Unif off campus,21004A72-,"Name       SAINT-THOMAS (INSTITUT)
Commune                  Bruxelles
Name: 21004A72-, dtype: object"
39,21004A03-,BON SECOURS - PALAIS DU MIDI,256194,21,1,female,child,138028,1,couple_with_child,21004A03-,Bruxelles,5,Unif off campus,21004A72-,"Name       SAINT-THOMAS (INSTITUT)
Commune                  Bruxelles
Name: 21004A72-, dtype: object"
40,21004E74-,EM. DELVA (RUE),312213,21,1,female,parent,171462,1,couple_with_child,21004E74-,Bruxelles,5,Unif off campus,21004A72-,"Name       SAINT-THOMAS (INSTITUT)
Commune                  Bruxelles
Name: 21004A72-, dtype: object"
41,21004E14-,ECOLE DES CADETS,365850,21,1,female,parent,198839,1,couple_with_child,21004E14-,Bruxelles,5,Unif off campus,21004A22-,"Name       SENNE (RUE DE LA)
Commune            Bruxelles
Name: 21004A22-, dtype: object"
42,21004E74-,EM. DELVA (RUE),312152,21,1,female,parent,171447,1,couple_with_child,21004E74-,Bruxelles,5,Unif off campus,21004A22-,"Name       SENNE (RUE DE LA)
Commune            Bruxelles
Name: 21004A22-, dtype: object"
43,21004B44-,AMBIORIX-SUD (SQUARE),215949,21,1,female,parent,114834,2,couple_no_child,21004B44-,Bruxelles,5,Unif off campus,21004A22-,"Name       SENNE (RUE DE LA)
Commune            Bruxelles
Name: 21004A22-, dtype: object"
44,21004E12-,PRINCE LEOPOLD (SQUARE),349617,21,1,female,child,190402,1,couple_with_child,21004E12-,Bruxelles,5,Unif off campus,21004A22-,"Name       SENNE (RUE DE LA)
Commune            Bruxelles
Name: 21004A22-, dtype: object"
45,21004A25-,BEGUINAGE (PLACE DU),212282,21,1,female,parent,112560,1,couple_with_child,21004A25-,Bruxelles,5,Unif off campus,21004A22-,"Name       SENNE (RUE DE LA)
Commune            Bruxelles
Name: 21004A22-, dtype: object"
46,21004A32-,CONGRES - GARE,282362,21,1,female,child,155435,4,single_with_child,21004A32-,Bruxelles,5,Unif off campus,21004C552,"Name       LOUISE (AVENUE)-SUD
Commune              Bruxelles
Name: 21004C552, dtype: object"
47,21004E83-,STIENON (AVENUE),324028,21,1,female,parent,177579,1,couple_with_child,21004E83-,Bruxelles,5,Unif off campus,21004C552,"Name       LOUISE (AVENUE)-SUD
Commune              Bruxelles
Name: 21004C552, dtype: object"
