,Unnamed: 0.1.1.1,PersID,WorkerID,TripNumber,TripTypeFrom,TripTypeTo,SS_Origin,Long_Origin,Lat_Origin,SS_Destination,Long_Destination,Lat_Destination,Distance,Strat_Time_pos,Strat_Time_h,Strat_Time_m,End_Time_pos,End_Time_h,End_Time_m,Duration_Time,Code_x,Name_x,Commune_x,Code_y,Name_y,Commune_y
8935,171999,665724,6.0,1,H,W,21011A02-,4.328660488569909,50.85777410263506,21004E14-,4.349018237604309,50.88388335779396,3.2366606061868737,194.0,3,14.0,202.0,3,22.0,8.194077484017402,21011A02-,JACQUET (RUE DE),Koekelberg,21004E14-,ECOLE DES CADETS,Bruxelles
5478,171557,661346,6.0,1,H,W,21011A01-,4.333667064913547,50.85957213018118,21004A34-,4.354252928596863,50.84870384967343,1.884385913422581,195.0,3,15.0,200.0,3,20.0,4.770597249171093,21011A01-,SAINTE-ANNE,Koekelberg,21004A34-,MONNAIE,Bruxelles
37423,49185,659454,6.0,1,H,W,21011A10-,4.316091034492043,50.86358573899808,21017A09-,4.430835349123091,50.78688864905858,11.737865021345522,198.0,3,18.0,228.0,3,48.0,29.71611397808993,21011A10-,PAIX (AVENUE DE LA),Koekelberg,21017A09-,FORET DE SOIGNES,Watermael-Boitsfort
23870,91940,654603,,1,H,W,21011A20-,4.323197646345974,50.862907962091455,21002A511,4.410796230072658,50.81665389361687,8.020502753198345,198.0,3,18.0,218.3050702612616,3,38.30507026126162,20.30507026126164,21011A20-,PLATEAU,Koekelberg,21002A511,INVALIDES (BOULEVARD DES),Auderghem
24897,113568,659651,,1,H,W,21011A10-,4.316091034492043,50.86358573899808,21018A01-,4.434310338747335,50.84216919919301,8.636495930001661,199.0,3,19.0,220.8645466582321,3,40.86454665823206,21.86454665823205,21011A10-,PAIX (AVENUE DE LA),Koekelberg,21018A01-,SAINT-LAMBERT,Woluwe Saint-Lambert
16306,15985,582508,,1,H,W,21009A512,4.375025274392103,50.83687874254506,21011A20-,4.323197646345974,50.86290796209145,4.6507143954343535,199.0,3,19.0,210.7739604947705,3,30.773960494770503,11.773960494770517,21009A512,WIERTZ,Ixelles,21011A20-,PLATEAU,Koekelberg
36163,712797,286514,6.0,1,H,W,21017A09-,4.430835349123091,50.78688864905858,21011A20-,4.323197646345974,50.86290796209145,11.344410050156116,199.0,3,19.0,228.0,3,48.0,28.720025443433205,21017A09-,FORET DE SOIGNES,Watermael-Boitsfort,21011A20-,PLATEAU,Koekelberg
8322,33868,748040,,4,W,L,21004E8NJ,4.331485285713708,50.88781523997637,21011A01-,4.333667064913547,50.85957213018118,3.1452067063325653,200.0,3,19.928855322245,207.89140394587176,3,27.89140394587176,7.9625486236267475,21004E8NJ,HOPITAL BRUGMANN,Bruxelles,21011A01-,SAINTE-ANNE,Koekelberg
10003,172985,670782,6.0,1,H,W,21011A12-,4.31042420112006,50.86581800235184,21004E82-,4.322765204877826,50.89544048021253,3.406829012145329,203.0,3,23.0,212.0,3,32.0,8.624883575051467,21011A12-,BASILIQUE,Koekelberg,21004E82-,CITE MODELE,Bruxelles
39962,712435,286049,6.0,1,H,W,21017A09-,4.430835349123091,50.78688864905858,21011A12-,4.31042420112006,50.86581800235184,12.192244985819327,203.0,3,23.0,234.0,3,54.0,30.86644300207425,21017A09-,FORET DE SOIGNES,Watermael-Boitsfort,21011A12-,BASILIQUE,Koekelberg
