,id,time,origin,destination,distance,duree
5,5,11,21018A09-,21016A193,7.446455131760151,18.851785143696585
42,42,24,21006A474,21001A332,9.374271682347253,23.73233337303102
35,35,32,21005A051,21009A922,1.5094201653187405,3.8213168742246597
83,83,75,21018A34-,21015A40-,5.314895803687556,13.455432414398878
30,30,81,21002A21-,21001C611,9.085346736017362,23.000877812702186
93,93,95,21018A82-,21009A041,5.922126747981568,14.992725944257135
59,59,98,21015A721,21004A72-,4.733665479806444,11.983963240016314
31,31,101,21019A34-,21004F522,8.355424571690119,21.152973599215493
45,45,132,21004E14-,21017A696,9.125764494238595,23.103201251236953
29,29,142,21018A87-,21016A214,7.785505750499244,19.710141140504415
70,70,162,21004E8NJ,21009A63-,7.834822089588988,19.834992631870858
26,26,168,21018A87-,21013A623,8.360037916654347,21.16465295355531
55,55,203,21001A02-,21006A042,8.234513288468067,20.846869084729285
21,21,214,21006A011,21004F901,2.6952138365270923,6.823326168423019
3,3,220,21017A472,21001B372,6.749417990479757,17.08713415311331
96,96,226,21004B2NJ,21001C581,7.561754138183712,19.143681362490412
49,49,230,21009A812,21017A541,0.8876542269426086,2.247225890993946
76,76,238,21013A04-,21018A32-,7.034513632215309,17.808895271431165
47,47,244,21004D610,21018A32-,5.7437848819114,14.541227549142786
56,56,249,21019A40-,21001A53-,11.773246133354656,29.805686413556092
62,62,259,21010A03-,21013A51-,4.849252204919301,12.276587860555194
37,37,259,21005A322,21013A2MJ,4.01023364034806,10.152490228729267
22,22,261,21006A12-,21004C591,7.778687488316831,19.692879717257803
9,9,267,21006A101,21001B241,6.477779210443759,16.399441039098125
99,99,274,21019A31-,21019A09-,0.4493147862704473,1.137505788026449
24,24,293,21007A101,21010A493,8.299619978496704,21.011696148092923
27,27,307,21008A32-,21008A38-,0.7472805733271416,1.891849552726941
14,14,328,21017A443,21004B45-,4.573355122711345,11.578114234712269
63,63,350,21009A121,21016A72-,5.129580444413968,12.986279606111312
90,90,368,21005A042,21004B421,1.721379002666587,4.357921525738195
8,8,416,21015A111,21016A731,9.708390466938532,24.57820371376844
23,23,419,21007A40-,21008A00-,5.857658618017068,14.829515488650808
91,91,425,21007A02-,21012A152,5.782532665824286,14.639323204618448
19,19,449,21001C522,21019A45-,13.063982096038126,33.07337239503323
58,58,453,21019A32-,21001C79-,10.37812128115986,26.273724762430028
78,78,473,21015A34-,21012A13-,4.382141853017299,11.094030007638734
75,75,484,21008A30-,21010A4MJ,1.432816080129414,3.6273824813402893
65,65,484,21012A24-,21007A79-,4.193759428493017,10.617112477197512
68,68,485,21009A612,21012A29-,4.903058272985189,12.412805754392885
80,80,487,21015A01-,21004G310,3.030320134041373,7.671696541876894
98,98,512,21014A18-,21002A511,5.3757967715914585,13.609612079978378
25,25,515,21004C51-,21019A52-,3.4796118643008187,8.809143960255238
77,77,521,21013A2MJ,21012A11-,1.4395727213319838,3.6444879021062886
